Complaint_ID,Date,Product,Complaint_Text,Simulated_Category
869c6048,2024-12-26,Injection Z,"Outer carton damaged, inner contents intact.",Packaging
9e9326ab,2024-11-16,Injection Z,Patient reported no improvement after dosage.,Efficacy
d4644158,2025-01-13,Tablet X,Patient reported no improvement after dosage.,Efficacy
8bcf61b8,2024-07-02,Tablet X,"Outer carton damaged, inner contents intact.",Packaging
4acf0495,2025-03-08,Vaccine A,Label shows out-of-spec condition.,Temperature
c707fe1b,2024-07-23,Ointment C,Dose seemed sub-potent.,Efficacy
a3612852,2025-01-13,Vaccine A,Vaccine arrived warm to touch.,Temperature
8d95dde4,2024-08-16,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
f6d6bdad,2025-04-04,Tablet X,Packaging seal broken on arrival.,Packaging
36e7d5ca,2025-03-17,Ointment C,Product received above storage temperature range.,Temperature
be5f875c,2025-01-13,Vaccine A,Packaging seal broken on arrival.,Packaging
4c547ca3,2024-07-26,Vaccine A,Vaccine arrived warm to touch.,Temperature
a5b135cf,2025-04-17,Ointment C,Missing tamper-evident seal on multiple units.,Packaging
f33d8595,2025-05-10,Tablet X,Missing tamper-evident seal on multiple units.,Packaging
60a32f20,2024-09-05,Injection Z,Vaccine arrived warm to touch.,Temperature
925915d0,2025-04-15,Ointment C,Dose seemed sub-potent.,Efficacy
483fd283,2024-11-18,Tablet X,Patient fainted shortly after use.,Adverse Reaction
4dea14ac,2024-08-21,Ointment C,Foreign particle seen in vial.,Contamination
23be33ae,2024-08-05,Tablet X,Swelling reported at injection site.,Adverse Reaction
2ea0db34,2024-08-28,Ointment C,Packaging seal broken on arrival.,Packaging
d4309fe0,2024-08-06,Injection Z,Product received above storage temperature range.,Temperature
64434c53,2024-07-19,Injection Z,Product received above storage temperature range.,Temperature
fb0dc29b,2025-02-19,Ointment C,Ineffective compared to prior lot.,Efficacy
ded551d5,2025-01-25,Ointment C,Therapeutic effect not observed as expected.,Efficacy
4996e827,2024-11-05,Vaccine A,Patient reported no improvement after dosage.,Efficacy
b74b3c07,2025-03-29,Tablet X,Temperature logger flagged deviation.,Temperature
46c560b2,2025-02-05,Vaccine A,Tablet shows signs of mold.,Contamination
dbe27260,2024-06-22,Ointment C,Label shows out-of-spec condition.,Temperature
07f85e1f,2024-12-15,Ointment C,Response time delayed significantly.,Efficacy
6660e3a7,2025-01-11,Injection Z,Patient experienced nausea post administration.,Adverse Reaction
2a47ad44,2024-08-31,Injection Z,Visible black speck inside ampoule.,Contamination
b3723d83,2025-04-04,Vaccine A,Patient reported no improvement after dosage.,Efficacy
be2eba26,2025-01-20,Vaccine A,Product received above storage temperature range.,Temperature
04653034,2024-10-26,Vaccine A,Label shows out-of-spec condition.,Temperature
943ffa92,2025-05-25,Ointment C,Therapeutic effect not observed as expected.,Efficacy
2f92d310,2025-05-13,Ointment C,Vaccine arrived warm to touch.,Temperature
b2835047,2025-03-09,Tablet X,"Liquid leaked from cap, contamination risk noted.",Packaging
744faca1,2025-02-03,Ointment C,Rash developed after second dose.,Adverse Reaction
130a2b96,2024-08-13,Vaccine A,Unclear sediment floating in solution.,Contamination
d1968d09,2025-05-01,Vaccine A,Packaging seal broken on arrival.,Packaging
a541a8f0,2024-07-12,Ointment C,Packaging seal broken on arrival.,Packaging
adf02cd8,2024-06-08,Ointment C,"Liquid leaked from cap, contamination risk noted.",Packaging
0a4a4c2b,2025-05-11,Tablet X,Rash developed after second dose.,Adverse Reaction
1a72cabe,2025-04-28,Vaccine A,Unexpected allergic reaction occurred.,Adverse Reaction
7b20b7d0,2025-03-17,Vaccine A,"Outer carton damaged, inner contents intact.",Packaging
e0dcea42,2024-10-15,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
dfbf1da5,2025-01-20,Tablet X,Patient fainted shortly after use.,Adverse Reaction
768f7f33,2025-05-16,Tablet X,Therapeutic effect not observed as expected.,Efficacy
1e871bce,2025-03-08,Injection Z,Foreign particle seen in vial.,Contamination
f45c7056,2025-06-02,Injection Z,Label shows out-of-spec condition.,Temperature
36e3e034,2025-03-15,Ointment C,Ineffective compared to prior lot.,Efficacy
7ffbaffa,2025-04-09,Ointment C,Missing tamper-evident seal on multiple units.,Packaging
636b6ee5,2025-02-13,Injection Z,Tablet shows signs of mold.,Contamination
eb933115,2025-05-07,Ointment C,Patient experienced nausea post administration.,Adverse Reaction
10e4e735,2024-07-26,Injection Z,Vaccine arrived warm to touch.,Temperature
fba62102,2024-07-31,Vaccine A,Cold chain break suspected during transit.,Temperature
33188cc2,2025-02-17,Injection Z,Tablet shows signs of mold.,Contamination
5ec5807f,2025-01-14,Tablet X,Patient fainted shortly after use.,Adverse Reaction
8631366d,2024-12-17,Injection Z,Visible black speck inside ampoule.,Contamination
21428cfd,2025-02-10,Tablet X,Patient fainted shortly after use.,Adverse Reaction
6773bad0,2024-11-02,Ointment C,Packaging seal broken on arrival.,Packaging
58589b88,2025-05-18,Vaccine A,Swelling reported at injection site.,Adverse Reaction
0c6847ad,2025-05-28,Tablet X,Tablet shows signs of mold.,Contamination
3b5b833c,2024-12-07,Injection Z,Cold chain break suspected during transit.,Temperature
68d903d3,2025-04-02,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
509d7a92,2024-12-18,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
c7fc8089,2024-10-31,Vaccine A,Missing tamper-evident seal on multiple units.,Packaging
775380bf,2025-05-17,Tablet X,Temperature logger flagged deviation.,Temperature
c9e41371,2024-10-06,Injection Z,Temperature logger flagged deviation.,Temperature
560c46fe,2025-03-24,Injection Z,Packaging seal broken on arrival.,Packaging
ce6ea270,2024-07-07,Tablet X,Patient experienced nausea post administration.,Adverse Reaction
4c82c899,2024-06-25,Injection Z,Patient reported no improvement after dosage.,Efficacy
01c20af1,2024-08-04,Vaccine A,Ineffective compared to prior lot.,Efficacy
e73d90f9,2025-05-11,Ointment C,Missing tamper-evident seal on multiple units.,Packaging
82396ddc,2025-02-26,Ointment C,Temperature logger flagged deviation.,Temperature
95e1258e,2024-10-26,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
f2926cbe,2025-04-26,Vaccine A,Foreign particle seen in vial.,Contamination
931b802f,2024-08-12,Injection Z,Patient fainted shortly after use.,Adverse Reaction
eac07b7d,2024-11-23,Injection Z,Tablet shows signs of mold.,Contamination
25a7afdc,2024-08-11,Ointment C,Patient experienced nausea post administration.,Adverse Reaction
1d1a0d3a,2024-08-12,Injection Z,Ineffective compared to prior lot.,Efficacy
9980a4c9,2024-09-01,Vaccine A,Temperature logger flagged deviation.,Temperature
2d3ab142,2024-07-22,Ointment C,Unusual odor detected from bottle.,Contamination
fe7a1475,2025-03-30,Injection Z,Therapeutic effect not observed as expected.,Efficacy
6efc99d0,2024-10-18,Injection Z,"Liquid leaked from cap, contamination risk noted.",Packaging
059a4573,2024-07-19,Injection Z,Patient fainted shortly after use.,Adverse Reaction
874c2377,2024-06-05,Tablet X,Unclear sediment floating in solution.,Contamination
e1e5df19,2025-05-17,Injection Z,Rash developed after second dose.,Adverse Reaction
5bdf3ecf,2024-07-07,Injection Z,Rash developed after second dose.,Adverse Reaction
63fb9966,2024-09-15,Ointment C,Ineffective compared to prior lot.,Efficacy
93a5e1ae,2025-04-18,Ointment C,Dose seemed sub-potent.,Efficacy
af400fe0,2024-10-23,Tablet X,Packaging seal broken on arrival.,Packaging
7a6b55a1,2024-09-14,Injection Z,Cold chain break suspected during transit.,Temperature
00be4b0c,2025-01-07,Ointment C,Foreign particle seen in vial.,Contamination
096329a4,2024-06-21,Ointment C,Rash developed after second dose.,Adverse Reaction
8372f28f,2025-04-21,Injection Z,Patient experienced nausea post administration.,Adverse Reaction
c4627eaa,2025-01-28,Vaccine A,Packaging seal broken on arrival.,Packaging
7d114829,2025-04-24,Vaccine A,Label shows out-of-spec condition.,Temperature
d8d221f1,2024-08-03,Tablet X,Dose seemed sub-potent.,Efficacy
105f7f44,2025-02-12,Injection Z,Packaging seal broken on arrival.,Packaging
ad1a6d3f,2025-03-17,Ointment C,Vaccine arrived warm to touch.,Temperature
874ff383,2024-12-25,Ointment C,Dose seemed sub-potent.,Efficacy
84b05db7,2024-12-03,Injection Z,Therapeutic effect not observed as expected.,Efficacy
4679143c,2024-10-29,Vaccine A,Visible black speck inside ampoule.,Contamination
6adf9f5d,2024-09-13,Vaccine A,Patient experienced nausea post administration.,Adverse Reaction
8a346fff,2024-08-04,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
b4f42551,2025-04-06,Injection Z,"Liquid leaked from cap, contamination risk noted.",Packaging
a013390d,2025-03-20,Tablet X,Missing tamper-evident seal on multiple units.,Packaging
28de5117,2025-03-23,Ointment C,Tablet shows signs of mold.,Contamination
a67c9df6,2024-09-22,Tablet X,Unusual odor detected from bottle.,Contamination
619e8307,2025-02-16,Injection Z,Vaccine arrived warm to touch.,Temperature
920873fd,2025-05-22,Tablet X,Product received above storage temperature range.,Temperature
34921f6b,2025-04-25,Vaccine A,Foreign particle seen in vial.,Contamination
0ae2941c,2024-11-09,Ointment C,Tablet shows signs of mold.,Contamination
8b34f8b6,2024-09-20,Injection Z,Dose seemed sub-potent.,Efficacy
b8812867,2024-11-18,Injection Z,Missing tamper-evident seal on multiple units.,Packaging
75e3fc3a,2025-05-16,Injection Z,Temperature logger flagged deviation.,Temperature
bf4f24bb,2024-11-18,Tablet X,"Liquid leaked from cap, contamination risk noted.",Packaging
70c9ddc7,2024-09-25,Tablet X,Tablet shows signs of mold.,Contamination
b29f4ffd,2024-10-14,Injection Z,"Vial cracked upon opening, leakage observed.",Packaging
8f6387e6,2024-09-17,Injection Z,Temperature logger flagged deviation.,Temperature
18d4c17e,2025-03-31,Vaccine A,"Vial cracked upon opening, leakage observed.",Packaging
a21f051d,2024-09-04,Injection Z,Unexpected allergic reaction occurred.,Adverse Reaction
61b89a13,2024-09-14,Injection Z,Dose seemed sub-potent.,Efficacy
92a7fbd5,2024-11-04,Vaccine A,Tablet shows signs of mold.,Contamination
72bb1e9e,2024-11-21,Vaccine A,Patient fainted shortly after use.,Adverse Reaction
4ff3b356,2024-11-08,Tablet X,Tablet shows signs of mold.,Contamination
6f534752,2024-11-30,Vaccine A,Unexpected allergic reaction occurred.,Adverse Reaction
a1e2ea46,2024-09-19,Vaccine A,Unclear sediment floating in solution.,Contamination
8f330308,2024-10-02,Tablet X,Product received above storage temperature range.,Temperature
1d68dd38,2025-04-14,Injection Z,Missing tamper-evident seal on multiple units.,Packaging
a1dfd437,2025-02-08,Injection Z,Ineffective compared to prior lot.,Efficacy
d8e601a0,2025-04-17,Ointment C,"Liquid leaked from cap, contamination risk noted.",Packaging
25dcd036,2024-06-25,Tablet X,Missing tamper-evident seal on multiple units.,Packaging
023237d2,2025-05-09,Injection Z,Dose seemed sub-potent.,Efficacy
63414bbb,2025-02-24,Injection Z,Tablet shows signs of mold.,Contamination
bd993eba,2024-09-27,Ointment C,Product received above storage temperature range.,Temperature
013636d2,2024-10-25,Tablet X,Patient fainted shortly after use.,Adverse Reaction
3089b36c,2024-12-20,Tablet X,Unexpected allergic reaction occurred.,Adverse Reaction
2009e1bd,2025-05-12,Tablet X,Dose seemed sub-potent.,Efficacy
07f9d61f,2024-07-11,Injection Z,Unclear sediment floating in solution.,Contamination
e4619fee,2024-08-14,Vaccine A,Packaging seal broken on arrival.,Packaging
cd9c2c89,2024-09-17,Ointment C,Foreign particle seen in vial.,Contamination
6180b7fa,2025-02-03,Tablet X,Response time delayed significantly.,Efficacy
901e380f,2025-02-26,Vaccine A,Unexpected allergic reaction occurred.,Adverse Reaction
326637f7,2024-12-18,Vaccine A,Product received above storage temperature range.,Temperature
4bc5bbb3,2025-02-15,Injection Z,"Outer carton damaged, inner contents intact.",Packaging
6d81d044,2024-12-27,Injection Z,"Vial cracked upon opening, leakage observed.",Packaging
c93ae772,2025-05-10,Injection Z,Patient experienced nausea post administration.,Adverse Reaction
e8de6dc9,2025-01-30,Ointment C,Tablet shows signs of mold.,Contamination
28561d41,2024-07-30,Vaccine A,Ineffective compared to prior lot.,Efficacy
533c59ae,2024-12-08,Injection Z,Tablet shows signs of mold.,Contamination
4bddd0f5,2024-09-10,Vaccine A,Therapeutic effect not observed as expected.,Efficacy
7b74f540,2024-07-05,Vaccine A,Tablet shows signs of mold.,Contamination
46a4e84e,2024-11-01,Tablet X,Temperature logger flagged deviation.,Temperature
c55e7ad3,2025-05-16,Vaccine A,Dose seemed sub-potent.,Efficacy
65bd435d,2024-11-17,Injection Z,Unclear sediment floating in solution.,Contamination
879560ba,2025-04-25,Tablet X,Therapeutic effect not observed as expected.,Efficacy
a6a74406,2025-03-23,Injection Z,Patient fainted shortly after use.,Adverse Reaction
b5b140af,2025-05-08,Injection Z,Unclear sediment floating in solution.,Contamination
0340b5a1,2025-04-28,Injection Z,Label shows out-of-spec condition.,Temperature
aa5100a5,2025-05-02,Ointment C,Foreign particle seen in vial.,Contamination
3a64f942,2024-07-28,Vaccine A,Label shows out-of-spec condition.,Temperature
815ee828,2024-12-22,Vaccine A,Packaging seal broken on arrival.,Packaging
3c7b01ed,2025-02-26,Ointment C,Unusual odor detected from bottle.,Contamination
b953d317,2024-07-26,Vaccine A,Response time delayed significantly.,Efficacy
0c26b8f9,2025-03-14,Injection Z,Product received above storage temperature range.,Temperature
13e79f7e,2025-02-09,Injection Z,Tablet shows signs of mold.,Contamination
c03a8d10,2025-01-18,Ointment C,Unclear sediment floating in solution.,Contamination
db04f1ed,2025-05-18,Ointment C,"Vial cracked upon opening, leakage observed.",Packaging
187a6780,2024-06-28,Injection Z,Temperature logger flagged deviation.,Temperature
9266563b,2024-12-03,Injection Z,Packaging seal broken on arrival.,Packaging
a9fc22e7,2025-05-08,Ointment C,Unclear sediment floating in solution.,Contamination
2f4e3eac,2025-04-18,Vaccine A,"Liquid leaked from cap, contamination risk noted.",Packaging
71b18336,2024-07-18,Vaccine A,Vaccine arrived warm to touch.,Temperature
b3a46855,2024-11-18,Ointment C,Patient fainted shortly after use.,Adverse Reaction
15db729a,2025-03-08,Tablet X,Unclear sediment floating in solution.,Contamination
71ccc010,2025-05-20,Tablet X,Patient fainted shortly after use.,Adverse Reaction
3175a55b,2024-06-30,Ointment C,Response time delayed significantly.,Efficacy
